miRNAs	n_geneset	hyper_pval
dme-miR-4969-3p	1	0.2653023664606344
dme-miR-2496-3p	0	
dme-miR-963-5p	4	0.00328378607067745
dme-miR-275-3p	0	
dme-miR-375-5p	1	0.6475629142381756
dme-miR-307b-3p	0	
dme-miR-960-3p	1	0.4467567311248766
dme-miR-1007-3p	0	
dme-miR-992-5p	0	
dme-miR-4987-3p	0	
dme-miR-9385-5p	1	0.6365191653484554
dme-miR-982-5p	0	
dme-miR-2495-3p	1	0.26969971629774536
dme-miR-4952-3p	0	
dme-miR-994-5p	1	0.7552873576857994
dme-miR-2500-5p	1	0.72785968554276
dme-miR-87-5p	0	
dme-miR-282-5p	1	0.30118246378958613
dme-miR-4954-5p	0	
dme-miR-957-3p	0	
dme-miR-4974-5p	0	
dme-miR-4941-5p	0	
dme-miR-986-3p	1	0.42393396914260034
dme-miR-285-3p	1	0.35251275039785074
dme-miR-995-3p	1	0.35251275039785074
dme-miR-998-3p	1	0.3654060319434719
dme-miR-100-5p	1	0.13990107351434952
